7.749913438721339218e+06,3.843170810258488018e+03
7.750532871151117608e+06,3.843518136316425171e+03
7.757752734267728403e+06,3.828046390610175877e+03
7.758694455543807708e+06,3.831257507643549161e+03
7.760292528012306429e+06,3.835928223328453896e+03
7.761205712280020118e+06,3.840890858743665831e+03
7.762004748514268547e+06,3.847313092810411035e+03
7.762895103175289929e+06,3.855078157636566175e+03
7.763751213426271453e+06,3.865412116089417850e+03
7.764550249660520814e+06,3.870958590965242820e+03
7.765434896919868886e+06,3.874753547459229139e+03
7.766365203392603435e+06,3.880708709957482824e+03
7.767934738852734677e+06,3.871367278587671990e+03
7.768933534145547077e+06,3.878373352115029775e+03
7.769618422346332110e+06,3.869323840475526140e+03
7.770531606614045799e+06,3.876621833733191124e+03
7.771073809773000889e+06,3.874286475890738075e+03
7.772129679082545452e+06,3.879541031036255845e+03
7.773157011383722536e+06,3.884795586181774979e+03
7.773898973601239733e+06,3.890342061057599039e+03
7.774669472827122547e+06,3.886839024293920829e+03
7.775565534889819100e+06,3.893494794144909974e+03
7.776107738048774190e+06,3.894370553335830209e+03
7.777306292400147766e+06,3.896705911178281895e+03
7.778053962019339204e+06,3.966124423045187086e+03
7.778967146287051961e+06,3.983347687133274121e+03
7.779794719529667869e+06,3.981304249021127816e+03
7.780679366789015010e+06,3.974298175493770032e+03
7.781421329006533138e+06,3.962621386281507966e+03
7.782277439257513732e+06,3.948842775011038157e+03
7.783076475491763093e+06,3.935998306877548202e+03
7.783909756136052310e+06,3.968810084564006956e+03
7.785257678354320116e+06,3.955428545190919067e+03
7.785257678354320116e+06,3.600000000000000000e+03
7.749913438721339218e+06,3.600000000000000000e+03
